,coefficient_name,value,constrain
0,coef_nest_root,1.0,T
1,coef_nest_AUTO,0.72,T
2,coef_nest_AUTO_DRIVEALONE,0.35,T
3,coef_nest_AUTO_SHAREDRIDE2,0.35,T
4,coef_nest_AUTO_SHAREDRIDE3,0.35,T
5,coef_nest_NONMOTORIZED,0.72,T
6,coef_nest_TRANSIT,0.72,T
7,coef_nest_TRANSIT_WALKACCESS,0.5,T
8,coef_nest_TRANSIT_DRIVEACCESS,0.5,T
9,coef_nest_RIDEHAIL,0.36,T
10,coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,F
11,coef_ivt_school_univ,-0.0224,F
12,coef_ivt_work,-0.0134,F
13,coef_ivt_atwork,-0.0188,F
14,coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15.0,F
15,coef_topology_walk_multiplier_atwork,7.5,F
16,coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20.0,F
17,coef_topology_bike_multiplier_atwork,10.0,F
18,coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.2,F
19,coef_topology_trn_multiplier_atwork,2.0,F
20,coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
21,coef_age1619_da_multiplier_school_univ,-1.3813,F
22,coef_age1619_da_multiplier_atwork,0.0032336,F
23,coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
24,coef_age010_trn_multiplier_school_univ,-1.5548,F
25,coef_age010_trn_multiplier_atwork,0.000722,F
26,coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,F
27,coef_age16p_sr_multiplier_school_univ_work_atwork,0.0,F
28,coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0.0,F
29,coef_hhsize1_sr_multiplier_work,-3.060556650161743,F
30,coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0.0,F
31,coef_hhsize2_sr_multiplier_school_univ,-0.6359,F
32,walk_ASC_no_auto_eatout,8.117658615112305,F
33,walk_ASC_no_auto_escort,2.6662487983703613,F
34,walk_ASC_no_auto_othdiscr,4.653724670410156,F
35,walk_ASC_no_auto_othmaint,-0.741488516330719,F
36,walk_ASC_no_auto_school,11.95239543914795,F
37,walk_ASC_no_auto_shopping,3.574869394302368,F
38,walk_ASC_no_auto_social,1.4225986003875732,F
39,walk_ASC_no_auto_univ,6.408967,F
40,walk_ASC_no_auto_work,13.065016746520996,F
41,walk_ASC_no_auto_atwork,6.669213,F
42,walk_ASC_auto_deficient_eatout,6.633948802947998,F
43,walk_ASC_auto_deficient_escort,-0.5751311182975769,F
44,walk_ASC_auto_deficient_othdiscr,2.016395330429077,F
45,walk_ASC_auto_deficient_othmaint,4.908812522888184,F
46,walk_ASC_auto_deficient_school,-3.425736904144287,F
47,walk_ASC_auto_deficient_shopping,7.019557952880859,F
48,walk_ASC_auto_deficient_social,0.5433127880096436,F
49,walk_ASC_auto_deficient_univ,4.50591,F
50,walk_ASC_auto_deficient_work,9.554733276367188,F
51,walk_ASC_auto_deficient_atwork,0.92546093,F
52,walk_ASC_auto_sufficient_eatout,1.4316356182098389,F
53,walk_ASC_auto_sufficient_escort,0.3795393109321594,F
54,walk_ASC_auto_sufficient_othdiscr,2.5744571685791016,F
55,walk_ASC_auto_sufficient_othmaint,2.837266683578491,F
56,walk_ASC_auto_sufficient_school,-4.653172016143799,F
57,walk_ASC_auto_sufficient_shopping,2.496213674545288,F
58,walk_ASC_auto_sufficient_social,1.7685213088989258,F
59,walk_ASC_auto_sufficient_univ,1.0607665,F
60,walk_ASC_auto_sufficient_work,7.297699928283691,F
61,walk_ASC_auto_sufficient_atwork,0.677216,F
62,bike_ASC_no_auto_eatout,-8.81294059753418,F
63,bike_ASC_no_auto_escort,2.5106449127197266,F
64,bike_ASC_no_auto_othdiscr,-7.097081661224365,F
65,bike_ASC_no_auto_othmaint,5.035427570343018,F
66,bike_ASC_no_auto_school,7.214749813079834,F
67,bike_ASC_no_auto_shopping,-4.416936874389648,F
68,bike_ASC_no_auto_social,1.5570136308670044,F
69,bike_ASC_no_auto_univ,4.2945156,F
70,bike_ASC_no_auto_work,18.34280776977539,F
71,bike_ASC_no_auto_atwork,-0.90725845,F
72,bike_ASC_auto_deficient_eatout,-1.906064748764038,F
73,bike_ASC_auto_deficient_escort,-6.175434112548828,F
74,bike_ASC_auto_deficient_othdiscr,-3.2701618671417236,F
75,bike_ASC_auto_deficient_othmaint,-11.701791763305664,F
76,bike_ASC_auto_deficient_school,-7.004739284515381,F
77,bike_ASC_auto_deficient_shopping,-4.614851474761963,F
78,bike_ASC_auto_deficient_social,-8.030831336975098,F
79,bike_ASC_auto_deficient_univ,-0.669235,F
80,bike_ASC_auto_deficient_work,-8.697283744812012,F
81,bike_ASC_auto_deficient_atwork,-0.8074083,F
82,bike_ASC_auto_sufficient_eatout,-2.3721306324005127,F
83,bike_ASC_auto_sufficient_escort,-2.39947247505188,F
84,bike_ASC_auto_sufficient_othdiscr,-1.9728151559829712,F
85,bike_ASC_auto_sufficient_othmaint,-9.185525894165039,F
86,bike_ASC_auto_sufficient_school,-7.067052841186523,F
87,bike_ASC_auto_sufficient_shopping,-2.1050782203674316,F
88,bike_ASC_auto_sufficient_social,-6.030811309814453,F
89,bike_ASC_auto_sufficient_univ,-1.9397832,F
90,bike_ASC_auto_sufficient_work,-7.598562240600586,F
91,bike_ASC_auto_sufficient_atwork,15.72017,F
92,sr2_ASC_no_auto_all,0.0,F
93,sr2_ASC_auto_deficient_eatout,-0.16474582254886627,F
94,sr2_ASC_auto_deficient_escort,0.0,F
95,sr2_ASC_auto_deficient_othdiscr,8.768594741821289,F
96,sr2_ASC_auto_deficient_othmaint,-1.5507322549819946,F
97,sr2_ASC_auto_deficient_school,-6.793222427368164,F
98,sr2_ASC_auto_deficient_shopping,0.004066317807883024,F
99,sr2_ASC_auto_deficient_social,8.249984741210938,F
100,sr2_ASC_auto_deficient_univ,-1.6922346,F
101,sr2_ASC_auto_deficient_work,1.905203104019165,F
102,sr2_ASC_auto_deficient_atwork,-2.1102421,F
103,sr2_ASC_auto_sufficient_eatout,0.8196380734443665,F
104,sr2_ASC_auto_sufficient_escort,0.0,F
105,sr2_ASC_auto_sufficient_othdiscr,0.7816948890686035,F
106,sr2_ASC_auto_sufficient_othmaint,0.4602779746055603,F
107,sr2_ASC_auto_sufficient_school,-6.088160514831543,F
108,sr2_ASC_auto_sufficient_shopping,0.47234198451042175,F
109,sr2_ASC_auto_sufficient_social,0.22033272683620453,F
110,sr2_ASC_auto_sufficient_univ,-1.859427,F
111,sr2_ASC_auto_sufficient_work,-0.6337584257125854,F
112,sr2_ASC_auto_sufficient_atwork,-1.4450618,F
113,sr3p_ASC_no_auto_eatout,0.6886729598045349,F
114,sr3p_ASC_no_auto_escort,-6.015750408172607,F
115,sr3p_ASC_no_auto_othdiscr,7.130117416381836,F
116,sr3p_ASC_no_auto_othmaint,-4.0534467697143555,F
117,sr3p_ASC_no_auto_school,-9.447039604187012,F
118,sr3p_ASC_no_auto_shopping,-2.8313047885894775,F
119,sr3p_ASC_no_auto_social,-4.16958475112915,F
120,sr3p_ASC_no_auto_univ,-6.056001,F
121,sr3p_ASC_no_auto_work,-3.999300718307495,F
122,sr3p_ASC_no_auto_atwork,0.5826626,F
123,sr3p_ASC_auto_deficient_eatout,-1.3374131917953491,F
124,sr3p_ASC_auto_deficient_escort,-3.3189094066619873,F
125,sr3p_ASC_auto_deficient_othdiscr,-1.7914987802505493,F
126,sr3p_ASC_auto_deficient_othmaint,-5.553699493408203,F
127,sr3p_ASC_auto_deficient_school,-6.4481425285339355,F
128,sr3p_ASC_auto_deficient_shopping,-0.7659411430358887,F
129,sr3p_ASC_auto_deficient_social,-0.38618287444114685,F
130,sr3p_ASC_auto_deficient_univ,-1.7277422,F
131,sr3p_ASC_auto_deficient_work,1.886556625366211,F
132,sr3p_ASC_auto_deficient_atwork,-2.514658,F
133,sr3p_ASC_auto_sufficient_eatout,0.2835922837257385,F
134,sr3p_ASC_auto_sufficient_escort,-0.32198014855384827,F
135,sr3p_ASC_auto_sufficient_othdiscr,-0.5007767081260681,F
136,sr3p_ASC_auto_sufficient_othmaint,0.014225318096578121,F
137,sr3p_ASC_auto_sufficient_school,-6.4805827140808105,F
138,sr3p_ASC_auto_sufficient_shopping,0.09157805889844894,F
139,sr3p_ASC_auto_sufficient_social,0.1373496949672699,F
140,sr3p_ASC_auto_sufficient_univ,-1.9047098,F
141,sr3p_ASC_auto_sufficient_work,-1.3270263671875,F
142,sr3p_ASC_auto_sufficient_atwork,-1.652174,F
143,walk_transit_ASC_no_auto_eatout,1.8793891668319702,F
144,walk_transit_ASC_no_auto_escort,8.64122486114502,F
145,walk_transit_ASC_no_auto_othdiscr,-3.4711616039276123,F
146,walk_transit_ASC_no_auto_othmaint,6.93247652053833,F
147,walk_transit_ASC_no_auto_school,27.97769546508789,F
148,walk_transit_ASC_no_auto_shopping,3.682525396347046,F
149,walk_transit_ASC_no_auto_social,-0.8036316633224487,F
150,walk_transit_ASC_no_auto_univ,8.786037,F
151,walk_transit_ASC_no_auto_work,0.3864443600177765,F
152,walk_transit_ASC_no_auto_atwork,2.7041876,F
153,walk_transit_ASC_auto_deficient_eatout,-1.8784726858139038,F
154,walk_transit_ASC_auto_deficient_escort,-6.105705738067627,F
155,walk_transit_ASC_auto_deficient_othdiscr,-0.6768725514411926,F
156,walk_transit_ASC_auto_deficient_othmaint,-6.785374164581299,F
157,walk_transit_ASC_auto_deficient_school,-3.7286670207977295,F
158,walk_transit_ASC_auto_deficient_shopping,-3.8972113132476807,F
159,walk_transit_ASC_auto_deficient_social,-3.8988678455352783,F
160,walk_transit_ASC_auto_deficient_univ,3.1362555,F
161,walk_transit_ASC_auto_deficient_work,-4.044316291809082,F
162,walk_transit_ASC_auto_deficient_atwork,-2.9988291,F
163,walk_transit_ASC_auto_sufficient_eatout,-2.6138970851898193,F
164,walk_transit_ASC_auto_sufficient_escort,-3.7779910564422607,F
165,walk_transit_ASC_auto_sufficient_othdiscr,-2.8435161113739014,F
166,walk_transit_ASC_auto_sufficient_othmaint,-3.2749276161193848,F
167,walk_transit_ASC_auto_sufficient_school,-3.9350407123565674,F
168,walk_transit_ASC_auto_sufficient_shopping,-2.140911340713501,F
169,walk_transit_ASC_auto_sufficient_social,-4.0227179527282715,F
170,walk_transit_ASC_auto_sufficient_univ,0.4731163,F
171,walk_transit_ASC_auto_sufficient_work,-5.244655609130859,F
172,walk_transit_ASC_auto_sufficient_atwork,-3.401027,F
173,drive_transit_ASC_no_auto_all,0.0,F
174,drive_transit_ASC_auto_deficient_eatout,0.9316793084144592,F
175,drive_transit_ASC_auto_deficient_escort,7.985496997833252,F
176,drive_transit_ASC_auto_deficient_othdiscr,-9.248003959655762,F
177,drive_transit_ASC_auto_deficient_othmaint,0.08190853893756866,F
178,drive_transit_ASC_auto_deficient_school,-4.689788818359375,F
179,drive_transit_ASC_auto_deficient_shopping,1.5926220417022705,F
180,drive_transit_ASC_auto_deficient_social,-2.9635579586029053,F
