coefficient_name,value,constrain
coef_nest_root,1,T
coef_nest_AUTO,0.72,T
coef_nest_AUTO_DRIVEALONE,0.35,T
coef_nest_AUTO_SHAREDRIDE2,0.35,T
coef_nest_AUTO_SHAREDRIDE3,0.35,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_DRIVEACCESS,0.5,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,F
coef_ivt_school_univ,-0.0224,F
coef_ivt_work,-0.0134,F
coef_ivt_atwork,-0.0188,F
coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15,F
coef_topology_walk_multiplier_atwork,7.5,F
coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20,F
coef_topology_bike_multiplier_atwork,10,F
coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.2,F
coef_topology_trn_multiplier_atwork,2,F
coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0,F
coef_age1619_da_multiplier_school_univ,-1.3813,F
coef_age1619_da_multiplier_atwork,0.0032336,F
coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0,F
coef_age010_trn_multiplier_school_univ,-1.5548,F
coef_age010_trn_multiplier_atwork,0.000722,F
coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,F
coef_age16p_sr_multiplier_school_univ_work_atwork,0,F
coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0,F
coef_hhsize1_sr_multiplier_work,-18.05191231,F
coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0,F
coef_hhsize2_sr_multiplier_school_univ,-0.6359,F
walk_ASC_no_auto_eatout,-1.491941333,F
walk_ASC_no_auto_escort,19.834108352661133,F
walk_ASC_no_auto_othdiscr,-13.27774715,F
walk_ASC_no_auto_othmaint,-13.99618816,F
walk_ASC_no_auto_school,31.570049285888672,F
walk_ASC_no_auto_shopping,15.489421844482422,F
walk_ASC_no_auto_social,-7.029916763,F
walk_ASC_no_auto_univ,-5.209798813,F
walk_ASC_no_auto_work,-12.79683781,F
walk_ASC_no_auto_atwork,6.669213,F
walk_ASC_auto_deficient_eatout,8.714327812194824,F
walk_ASC_auto_deficient_escort,8.400849342346191,F
walk_ASC_auto_deficient_othdiscr,-17.23918724,F
walk_ASC_auto_deficient_othmaint,-9.614654541,F
walk_ASC_auto_deficient_school,-0.259806991,F
walk_ASC_auto_deficient_shopping,6.494946002960205,F
walk_ASC_auto_deficient_social,-5.184986591,F
walk_ASC_auto_deficient_univ,-15.38105583,F
walk_ASC_auto_deficient_work,-1.923326612,F
walk_ASC_auto_deficient_atwork,0.92546093,F
walk_ASC_auto_sufficient_eatout,2.0336148738861084,F
walk_ASC_auto_sufficient_escort,-3.476354837,F
