coefficient_name,value,constrain
coef_mode_logsum,0.4017909721771055,F
coef_escort_dist_0_2,-0.5314655271557973,F
coef_eatout_dist_0_2,-0.5609,F
coef_eatout_social_0_2,-0.5748200472022056,F
#coef_eatout_dist_0_2,-0.7841,F
coef_othdiscr_dist_0_2,-0.1677,F
coef_escort_dist_2_5,-0.8671,F
coef_shopping_dist_2_5,-0.886642697930849,F
coef_eatout_dist_2_5,-0.3192,F
coef_othmaint_dist_2_5,-0.6055,F
coef_social_dist_2_5,-0.3485,F
coef_othdiscr_dist_2_5,-0.4955,F
coef_escort_dist_5_plus,-0.11427261245951925,F
coef_shopping_dist_5_plus,-0.0158030902775117,F
coef_eatout_dist_5_plus,-0.016098272706376315,F
coef_othmaint_dist_5_plus,-0.010000000000000009,F
coef_social_dist_5_plus,-0.010000000000000009,F
coef_othdiscr_dist_5_plus,-0.26167453151328646,F


